,Defense (5),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Dionicio, Rodwin",3 RFA,ELC,LD,Minor,Draft,20.0,-,"$950,000","$950,000","$950,000",RFA,,
1,"Helleson, Drew",1 RFA,ELC,RD,Minor,Trade,23.0,-,"$925,000",RFA,,,,
2,"Luneau, Tristan",3 RFA,ELC,RD,Loan,Draft,20.0,-,"$865,000","$865,000","$865,000",RFA,,
3,"Warren, Noah",3 RFA,ELC,RD,Junior,Draft,19.0,-,"$865,000","$865,000","$865,000",RFA,,
4,"Hinds, Tyson",2 RFA,ELC,LD,Minor,Draft,21.0,-,"$829,444","$829,444",RFA,,,
5,"Carrick, Trevor",0 UFA,,LD,Minor,Signed,29.0,-,UFA,,,,,
6,"Hägg, Robert",0 UFA,,LD,Minor,Signed,29.0,-,UFA,,,,,
7,"White, Colton",0 UFA,,LD,Minor,Signed,27.0,-,UFA,,,,,
8,TOTAL,,,,,,23.5,-,"$4,434,444","$3,509,444","$2,680,000",,,
