,Goalies (5),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
0,"Clang, Calle",1 RFA,ELC,G,Minor,Trade,22.0,-,"$878,333",RFA,,,,
1,"Clara, Damian",3 RFA,ELC,G,Minor,Draft,19.0,-,"$878,333","$878,333","$878,333",RFA,,
2,"Suchanek, Tomas",3 RFA,ELC,G,Minor,Signed,21.0,-,"$870,000","$870,000","$870,000",RFA,,
3,"Buteyets, Vyacheslav",2 RFA,ELC,G,Minor,Draft,22.0,-,"$852,500","$852,500",RFA,,,
4,"Alexander, Gage",1 RFA,ELC,G,Minor,Draft,21.0,-,"$810,000",RFA,,,,
5,"Stalock, Alex",0 UFA,,G,Minor,Signed,36.0,-,UFA,,,,,
6,TOTAL,,,,,,23.5,-,"$4,289,166","$2,600,833","$1,748,333",,,
